"track_name","artist_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"STAY","HYOLYN","5wVuG1g6vJuLZnpJ7aYv5R",0.441,0.323,5,-5.388,1,0.0327,0.514,0,0.0885,0.413,176.381,227510,4
"Star (Little Prince)","Loco","5ye8NldYYbhHICP65G0i0k",0.376,0.699,1,-4.79,0,0.0752,0.228,0,0.098,0.423,140.993,182773,4
"배웅","Motte","01U1Qm1lGhiwOi0zzFLjUr",0.649,0.622,0,-4.005,1,0.0662,0.644,0.000122,0.0381,0.476,135.802,207120,4
"솜사탕","ALICE","0kKoACbxZXf3y1eUPiPl9p",0.732,0.892,5,-1.894,0,0.056,0.357,1.2e-06,0.107,0.547,120.017,214673,4
"Way back home","MINSEO","1d2OlYerfxGD0xTCyThzre",0.682,0.447,2,-8.336,1,0.0603,0.766,0,0.323,0.153,80.998,212014,4
"Good night","JEONG SEWOON","6j83pV2teTPtRHRWwNvEPt",0.326,0.578,0,-5.757,1,0.0337,0.277,0,0.0416,0.304,139.817,237253,4
"A-TEEN","SEVENTEEN","5P0Uo1LqAgvFuxabQMe81X",0.649,0.792,11,-4.677,1,0.0966,0.109,0,0.343,0.543,149.962,196323,4
"All I do","Roy Kim","74N50eCOSMdx90OHfKjfa9",0.386,0.308,6,-7.955,1,0.0341,0.897,0,0.09,0.244,129.328,264918,1
"Golden Goat","OHHYUK","6W5c8NIvTHvdmtH2qLgHa9",0.557,0.579,4,-5.1,0,0.0329,0.267,5.69e-05,0.127,0.233,119.836,224113,4
"Story Of Us 둘만의 이야기","Baek A Yeon","6V8r8eJGnkp7VeIiphDsow",0.779,0.581,5,-6.343,1,0.19,0.44,0,0.111,0.491,139.997,204748,4
"Sleep","Kim Greem","0Z92LC8H7VSFu87XDWJsrt",0.578,0.475,11,-7.809,0,0.0557,0.629,9.5e-05,0.126,0.116,139.734,236162,4
